[2024-08-03 14:19:44] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1-150x150.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1-150x150.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1-1536x1097.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1-1536x1097.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1-2048x1462.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1-2048x1462.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1-300x214.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1-300x214.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1-768x548.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1-768x548.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1024x731.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1024x731.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-150x150.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-150x150.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-1536x1097.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-1536x1097.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-2048x1462.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-2048x1462.jpg
[2024-08-03 14:19:47] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-300x214.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-300x214.jpg
[2024-08-03 14:19:47] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-768x548.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-768x548.jpg
[2024-08-03 14:19:47] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\HOME-BOTTOM-e1722613231747-1024x425.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/HOME-BOTTOM-e1722613231747-1024x425.jpg
